name,movie_count,lead_performance,gender,popularity,profile_path,credits,order
Keith David,16,3,Male,24.43700000000001,https://image.tmdb.org/t/p/original/jJLJuR7FNHYL1fB5igjj7IXzOel.jpg,"[10198, 1091, 10923, 14836, 1640, 17047, 175574, 290250, 535292, 544, 548064, 641, 762504, 787, 792, 83542]",36
Jake Gyllenhaal,15,14,Male,58.389,https://image.tmdb.org/t/p/original/rJdYHYNhlcOBwbPvDZVvt1xw7bi.jpg,"[141, 142, 146233, 181886, 1949, 242582, 25, 340666, 387426, 395993, 417812, 45612, 463684, 77016, 9543]",37
Robert Downey Jr.,15,12,Male,29.49099999999999,https://image.tmdb.org/t/p/original/im9SAqJPZKEbVZGmjXuLI4O7RvM.jpg,"[10067, 10138, 10528, 11814, 1726, 1949, 212778, 24428, 25562, 271110, 299536, 58574, 68721, 7446, 99861]",38
Natalie Portman,15,11,Female,42.18499999999999,https://image.tmdb.org/t/p/original/zE90yInhhU8fLz1HgWpB9KPvGnE.jpg,"[101, 1893, 1894, 1895, 1989, 2288, 2289, 330947, 376866, 401, 41630, 429202, 44214, 76338, 9398]",39
Emma Thompson,15,8,Female,23.165000000000003,https://image.tmdb.org/t/p/original/xr8Ki3CIqweWWqS5q0kUYdiK6oQ.jpg,"[11283, 140823, 24684, 337404, 396398, 479455, 508, 523172, 62177, 6479, 673, 675, 758330, 9016, 9440]",40
Idris Elba,15,8,Male,34.596,https://image.tmdb.org/t/p/original/be1bVF7qGX91a6c5WeRPs5pKXln.jpg,"[127380, 17335, 188927, 269149, 283587, 284053, 299536, 353491, 396371, 436969, 556694, 68726, 76338, 8617, 99861]",40
Kristen Wiig,15,7,Female,21.904,https://image.tmdb.org/t/p/original/N517EQh7j4mNl3BStMmjMN6hId.jpg,"[10191, 109443, 152601, 20352, 22798, 286217, 324852, 405177, 43074, 464052, 46503, 55721, 595813, 8355, 93456]",41
Angela Bassett,15,7,Female,33.724,https://image.tmdb.org/t/p/original/7Oz53NKdglRzAzI2MKjM3eQXwn.jpg,"[1267, 13751, 15765, 284054, 31357, 33644, 340275, 353081, 44912, 531509, 574060, 59962, 686, 773736, 972545]",41
John Goodman,15,7,Male,30.09800000000001,https://image.tmdb.org/t/p/original/yyYqoyKHO7hE1zpgEV2XlqYWcNV.jpg,"[10198, 115, 11688, 134, 339964, 341013, 378, 5559, 585, 64685, 68734, 7459, 74643, 86829, 87502]",41
Laurence Fishburne,15,5,Male,28.03500000000001,https://image.tmdb.org/t/p/original/aBRISux1AGCqkFNTKHYfLcJunWA.jpg,"[13751, 14291, 15765, 209112, 28, 324552, 363088, 405177, 458156, 49521, 603, 604, 605, 873, 956]",42
John Cleese,15,4,Male,20.024,https://image.tmdb.org/t/p/original/nQpBf77cStmR35V0XOinm2zZMWG.jpg,"[10192, 10200, 10204, 10603, 14248, 36669, 51162, 583, 623, 671, 672, 762, 809, 810, 9471]",43
Maggie Smith,15,3,Female,24.346999999999998,https://image.tmdb.org/t/p/original/qZyJ7DaOtkfqw58Iv7EqADi428P.jpg,"[11257, 12445, 2005, 268238, 2925, 45772, 5279, 6279, 671, 672, 673, 674, 675, 767, 879]",44
Elizabeth Banks,15,2,Female,21.788999999999994,https://image.tmdb.org/t/p/original/zrkI1dYucpTM8Qydtrtro9MgQPb.jpg,"[101299, 114150, 131631, 131634, 137106, 2171, 264999, 305470, 458897, 49527, 557, 558, 559, 640, 6957]",45
Cheech Marin,15,1,Male,12.718999999999996,https://image.tmdb.org/t/p/original/eecHDNRn9K80ZcuSocsMhQb2G1i.jpg,"[10054, 10843, 11430, 12233, 12279, 13225, 13836, 13934, 14405, 228326, 23631, 260514, 755, 8587, 9488]",46
Leonardo DiCaprio,14,14,Male,53.155999999999985,https://image.tmdb.org/t/p/original/wo2hJpn04vbtmh0B9utCFdsQhxM.jpg,"[106646, 11324, 1422, 2567, 27205, 281957, 365717, 454, 597, 640, 646380, 64682, 68718, 823102]",47
Ben Stiller,14,14,Male,49.673999999999985,https://image.tmdb.org/t/p/original/scgpxhI05JpdNXXfmpK6z0rPOWN.jpg,"[1593, 1597, 181533, 18360, 396398, 544, 59108, 5966, 693, 7446, 9038, 9398, 9428, 9472]",47
Denzel Washington,14,14,Male,55.429999999999986,https://image.tmdb.org/t/p/original/AHUnhGbnWnjin4M2sNdZYAei9h.jpg,"[10637, 14462, 2034, 20504, 393457, 41791, 591538, 59961, 602269, 8470, 87502, 9481, 9800, 9944]",47
George Clooney,14,13,Male,26.682999999999996,https://image.tmdb.org/t/p/original/kHiVY6r1k6juXrNetAYk2jILqn9.jpg,"[10054, 10315, 11775, 134, 1389, 161, 163, 22947, 298, 4566, 49047, 4944, 65057, 755]",48
Zac Efron,14,12,Male,43.70299999999999,https://image.tmdb.org/t/p/original/6oXNHv7gAyXXYFpF943pKRsTtqQ.jpg,"[10947, 11887, 13649, 16996, 195589, 2976, 325133, 339846, 371638, 37950, 457799, 62838, 73723, 82390]",49
Nicolas Cage,14,12,Male,44.957,https://image.tmdb.org/t/p/original/ar33qcWbEgREn07ZpXv5Pbj8hbM.jpg,"[1250, 19585, 2039, 2059, 23483, 27022, 2757, 324857, 378, 460885, 529203, 6637, 9708, 9906]",49
Adam Driver,14,9,Male,16.386,https://image.tmdb.org/t/p/original/mG2vwd6hJHTiCh8zIxPFND3ibAj.jpg,"[121986, 140607, 181808, 245703, 370755, 396398, 399170, 424277, 487558, 492188, 524348, 644495, 68730, 86829]",50
Toni Collette,14,9,Female,45.147000000000006,https://image.tmdb.org/t/p/original/lzXRh16qe4HHeBN6tMyw0DHvaMn.jpg,"[11931, 147773, 226486, 236, 287903, 463684, 493922, 500840, 546554, 55561, 590, 597208, 745, 773]",50
