name,job,Logged_Year,movie_count,gender,popularity,profile_path,order,display
Jeanne Lapoirie,Director of Photography,2021,2,Female,1.614,https://image.tmdb.org/t/p/original/5nc3GQ5osY6QUWvcdLsvsvhM6GH.jpg,114,0
Pasqualino De Santis,Director of Photography,2021,2,Male,1.016,https://image.tmdb.org/t/p/original/edpUP1MUFgbAjL2oKGPX35DQGHo.jpg,115,0
Jean Rabier,Director of Photography,2021,2,Male,0.988,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,116,0
Ben Smithard,Director of Photography,2021,2,Male,0.75,https://image.tmdb.org/t/p/original/fZqxAASx4aCAJoYklgx2qidDuVV.jpg,117,0
Charles Minsky,Director of Photography,2021,2,Male,0.6,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,118,0
Sean Bobbitt,Director of Photography,2021,2,Male,0.6,https://image.tmdb.org/t/p/original/fZh0FMaHlQCul9LozKJvI3QRJsg.jpg,118,0
Rainer Werner Fassbinder,Director,2021,4,Male,9.429,https://image.tmdb.org/t/p/original/xll1qAg0TOzcuNlfZWEEKB1JxqR.jpg,119,1
Ingmar Bergman,Director,2021,3,Male,8.831,https://image.tmdb.org/t/p/original/nkmOaXNRoioViN9OQf2n9Iu6akA.jpg,120,0
Jane Campion,Director,2021,3,Female,6.768,https://image.tmdb.org/t/p/original/zAkrfMl6m940Ja46ofWaM94gTNj.jpg,121,0
Krzysztof Kieślowski,Director,2021,3,Male,6.3039999999999985,https://image.tmdb.org/t/p/original/8wxPNOV9dg7EDHAFrRdJf6BitMl.jpg,122,0
Curtis Hanson,Director,2021,3,Male,5.681,https://image.tmdb.org/t/p/original/1ht0tJ0Icxc134W3ZpcGtwMtNLA.jpg,123,0
John Carpenter,Director,2021,2,Male,22.874000000000002,https://image.tmdb.org/t/p/original/ghBgALx0z2hGdY32eG9VL6dPyhz.jpg,124,0
Martin Scorsese,Director,2021,2,Male,17.377,https://image.tmdb.org/t/p/original/9U9Y5GQuWX3EZy39B8nkk4NY01S.jpg,125,0
Aaron Sorkin,Director,2021,2,Male,10.895,https://image.tmdb.org/t/p/original/rcRPzHLGQIKZ6BWu5EVeDFDy75Y.jpg,126,0
John Cassavetes,Director,2021,2,Male,10.499,https://image.tmdb.org/t/p/original/2Bo1ipVthg8uKP26mNGykChukA8.jpg,127,0
Denis Villeneuve,Director,2021,2,Male,9.934,https://image.tmdb.org/t/p/original/zdDx9Xs93UIrJFWYApYR28J8M6b.jpg,128,0
Joel Coen,Director,2021,2,Male,8.65,https://image.tmdb.org/t/p/original/rgVaJNkZCgMarUcZuUAsVfXMWk3.jpg,129,0
David Cronenberg,Director,2021,2,Male,7.938,https://image.tmdb.org/t/p/original/kLHnBnUomcH96PdLRBnuZUzRoY1.jpg,130,0
Pedro Almodóvar,Director,2021,2,Male,7.763,https://image.tmdb.org/t/p/original/dKlaXJk3NLcsC1CKMx6xmyW5BZD.jpg,131,0
Park Chan-wook,Director,2021,2,Male,6.972,https://image.tmdb.org/t/p/original/jsSFCVB7MhuVbSLwTgESiXEiNjt.jpg,132,0
Noah Baumbach,Director,2021,2,Male,5.803,https://image.tmdb.org/t/p/original/wRfV5qYIJHk4NH9gkKQnk99E5Qn.jpg,133,0
Emeric Pressburger,Director,2021,2,Male,5.638,https://image.tmdb.org/t/p/original/byPJw21EY1pUWHJtthCs7wUtvoA.jpg,134,0
Jacques Demy,Director,2021,2,Male,5.331,https://image.tmdb.org/t/p/original/qfCV7ckQ2XjsAgDRzvJ2PCRAzAE.jpg,135,0
Lawrence Kasdan,Director,2021,2,Male,4.4,https://image.tmdb.org/t/p/original/hZAQC6MLyR1oLHRKEZ1oUEvh0Sy.jpg,136,0
Stephen Frears,Director,2021,2,Male,4.208,https://image.tmdb.org/t/p/original/2QPhgz395c8MjRpBMidUdSWXOBN.jpg,137,0
Jan de Bont,Director,2021,2,Male,3.915,https://image.tmdb.org/t/p/original/omuf0WjtBlkRWlVHPTgaXKhQsDe.jpg,138,0
François Truffaut,Director,2021,2,Male,3.7769999999999997,https://image.tmdb.org/t/p/original/3bXLtipaybsje01LlQvHvuUAZNq.jpg,139,0
Rob Epstein,Director,2021,2,Male,2.8289999999999997,https://image.tmdb.org/t/p/original/2Dt2pa7G45FOedK281eCplnLNOS.jpg,140,0
Josephine Decker,Director,2021,2,Female,2.577,https://image.tmdb.org/t/p/original/qgvT0J4adO8udUfxvfA1uF4IHOi.jpg,141,0
Destin Daniel Cretton,Director,2021,2,Male,2.483,https://image.tmdb.org/t/p/original/s8uAUG9egZlRIU0PKNkTkIz9E6g.jpg,142,0
Michael Powell,Director,2021,2,Male,2.239,https://image.tmdb.org/t/p/original/gkHgrKa834PZVqAQ5kSs8Cn0pXv.jpg,143,0
Robert Bresson,Director,2021,2,Male,2.193,https://image.tmdb.org/t/p/original/vgQWc59n5tnlHMD1FdKOoRe2iP7.jpg,144,0
Mike Nichols,Director,2021,2,Male,2.023,https://image.tmdb.org/t/p/original/eJgJEVil7iOJ9sTAXLCVRKfeKKM.jpg,145,0
Elaine May,Director,2021,2,Female,1.4580000000000002,https://image.tmdb.org/t/p/original/vDx1oJb6UIGAVmtJ2sItcyEZG77.jpg,146,0
Ann Roth,Costume Design,2021,5,Female,3.4300000000000006,https://image.tmdb.org/t/p/original/cT4EtdqvG0Yq4EQ3LASXiwyndYi.jpg,147,1
Jenny Beavan,Costume Design,2021,2,Female,5.284,https://image.tmdb.org/t/p/original/yYBIJ0OsZu5ccnCC7Bim9FAkDwg.jpg,148,0
Edith Head,Costume Design,2021,2,Female,4.878,https://image.tmdb.org/t/p/original/l6LmpdKnU67FaoNBLi8VRRoO6wX.jpg,149,0
Ruth E. Carter,Costume Design,2021,2,Female,4.3210000000000015,https://image.tmdb.org/t/p/original/b1CtSVekrYuEmCYt9K3JxWfcJjt.jpg,150,0
Albert Wolsky,Costume Design,2021,2,Male,4.14,https://image.tmdb.org/t/p/original/lUFslczrjBt2zfVmr6s65ggfakB.jpg,151,0
Michael Wilkinson,Costume Design,2021,2,Male,3.759,https://image.tmdb.org/t/p/original/5363Z5CBR7PoVjyxxnVOuifKrM5.jpg,152,0
Ellen Mirojnick,Costume Design,2021,2,Female,3.753,https://image.tmdb.org/t/p/original/fVldZUbyEG0fHTTzmGp5CeqadCc.jpg,153,0
Renée April,Costume Design,2021,2,Female,2.8480000000000003,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,154,0
Arianne Phillips,Costume Design,2021,2,Female,1.844,https://image.tmdb.org/t/p/original/pZW5DiGSx0CP1gmZLxWSlYJcxHI.jpg,155,0
Denise Cronenberg,Costume Design,2021,2,Female,1.646,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,156,0
Sharen Davis,Costume Design,2021,2,Female,1.4,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,157,0
Hein Heckroth,Costume Design,2021,2,Male,0.98,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,158,0
Louise Frogley,Costume Design,2021,2,Female,0.84,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,159,0
Susan Becker,Costume Design,2021,2,Female,0.828,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,160,0
Elizabeth Warn,Costume Design,2021,2,Female,0.828,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,160,0
Marci Rodgers,Costume Design,2021,2,Female,0.677,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,161,0
Corinne Jorry,Costume Design,2021,2,Female,0.677,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,161,0
Stephen Cone,Writer,2020,2,Male,1.03,https://image.tmdb.org/t/p/original/yp5hzePC2uGWakcAbrwzggRpxgb.jpg,162,1
Patrick Marber,Screenplay,2020,2,Male,4.301,https://image.tmdb.org/t/p/original/gKQHT10lVXPvAyD062svcAGdkjo.jpg,163,1
George Bowers,Editor,2020,3,Male,0.753,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,164,1
Peter Teschner,Editor,2020,2,Male,3.887,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,165,0
Mick Audsley,Editor,2020,2,Male,2.362,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,166,0
John Bloom,Editor,2020,2,Male,1.473,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,167,0
