Logged_Date,Name,Year,english_language,popularity,vote_average,vote_count,revenue,runtime,Rating,Review,Logged_DOW,Logged_Month,Logged_Year,Logged_Week,Daily_Movie_Count,Weekly_Movie_Count,Action,Crime,War,Drama,Thriller,Mystery,Comedy,Romance,Sci_Fi,Animation,Documentary,Adventure,Music,Horror,Fantasy,History,Western,Rom_Com,female_roles,female_driven,female_directed,negativity_percentage,neutrality_percentage,positivity_percentage,movie_sentiment
2017-07-29,The Avengers,2012,1,173.857,7.7,25244,1518815515,143,4.0,0,6,7,2017,30,244,387,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6.0,0.0,0.0,0.226,0.601,0.174,-0.6369
2017-07-29,Scott Pilgrim vs. the World,2010,1,23.983,7.4,5814,48000000,112,3.5,0,6,7,2017,30,244,387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8.0,0.0,0.0,0.149,0.826,0.025,-0.8364
2017-07-29,Birdman or (The Unexpected Virtue of Ignorance),2014,1,36.27,7.5,10660,103215094,120,2.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0,0.0,0.0,0.052,0.713,0.235,0.866
2017-07-29,The Empire Strikes Back,1980,1,20.62,8.4,13280,538400000,124,0.0,0,6,7,2017,30,244,387,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3.0,0.0,0.0,0.221,0.705,0.074,-0.8708
2017-07-29,Suicide Squad,2016,1,4013.5029999999997,8.0,2969,140771711,132,2.0,0,6,7,2017,30,244,387,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,5.0,0.0,0.0,0.086,0.779,0.135,0.2263
2017-07-29,The Matrix,1999,1,65.149,8.2,19683,463517383,136,5.0,0,6,7,2017,30,244,387,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,0.0,1.0,0.075,0.841,0.084,0.0772
2017-07-29,Melancholia,2011,1,12.008,7.2,2547,15946321,135,3.5,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.381,0.619,0.0,-0.7184
2017-07-29,Antichrist,2009,1,21.549,6.7,1886,791867,108,1.5,0,6,7,2017,30,244,387,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.36,0.595,0.045,-0.9217
2017-07-29,Nymphomaniac,2013,1,29.958000000000002,6.8,2250,4934725,124,2.5,0,6,7,2017,30,244,387,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1.0,0.0,0.0,0.882,0.118,0.4939
2017-07-29,Nymphomaniac,2013,1,29.958000000000002,6.8,2250,4934725,124,2.5,0,6,7,2017,30,244,387,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1.0,0.0,0.0,0.882,0.118,0.4939
2017-07-29,A Clockwork Orange,1971,1,26.81,8.2,9867,26589000,137,3.5,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.174,0.736,0.09,-0.8472
2017-07-29,The Lord of the Rings: The Fellowship of the Ring,2001,1,86.18700000000004,8.4,19590,871368364,179,3.0,0,6,7,2017,30,244,387,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.0,0.0,0.0,0.182,0.75,0.068,-0.802
2017-07-29,Back to the Future,1985,1,46.96100000000001,8.3,15464,381109762,116,4.0,0,6,7,2017,30,244,387,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,8.0,0.0,0.0,0.088,0.626,0.286,0.9136
2017-07-29,Reservoir Dogs,1992,1,22.405,8.2,10908,2859750,99,4.0,0,6,7,2017,30,244,387,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.206,0.735,0.059,-0.7906
2017-07-29,The Shawshank Redemption,1994,1,70.327,8.7,19524,28341469,142,0.0,0,6,7,2017,30,244,387,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.202,0.651,0.147,-0.7003
2017-07-29,Forrest Gump,1994,1,40.52,8.5,21109,677387716,142,2.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.0,0.0,0.0,0.03,0.667,0.302,0.9306
2017-07-29,Mulholland Drive,2001,1,16.242,7.8,4461,20117339,147,3.5,0,6,7,2017,30,244,387,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0.0,0.0,0.104,0.859,0.037,-0.5106
2017-07-29,Zootopia,2016,1,79.14,7.7,13208,1023784195,109,4.0,0,6,7,2017,30,244,387,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,9.0,1.0,0.0,0.0,0.846,0.154,0.6369
2017-07-29,John Wick,2014,1,185.78900000000002,7.4,7124,326709727,130,4.5,0,6,7,2017,30,244,387,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.101,0.869,0.03,-0.5789
2017-07-29,Fargo,1996,1,19.971,7.9,5837,60611975,98,5.0,0,6,7,2017,30,244,387,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.096,0.87,0.034,-0.7096
2017-07-29,Manchester by the Sea,2016,1,21.241999999999997,7.5,4520,78988148,138,2.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.121,0.789,0.089,-0.3818
2017-07-29,Good Will Hunting,1997,1,36.389,8.1,8848,225933435,127,3.5,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.182,0.68,0.138,-0.6808
2017-07-29,Ocean's Eleven,2001,1,21.035999999999998,7.4,9083,450717150,116,4.0,0,6,7,2017,30,244,387,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.124,0.837,0.039,-0.5789
2017-07-29,Tower Heist,2011,1,16.913,6.0,2256,152930623,104,3.0,0,6,7,2017,30,244,387,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.175,0.696,0.129,-0.4767
2017-07-29,Hell or High Water,2016,1,19.397000000000002,7.3,3434,37589296,102,4.0,0,6,7,2017,30,244,387,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,0.0,0.0,0.098,0.766,0.136,0.2263
2017-07-29,Moonrise Kingdom,2012,1,11.741,7.7,4483,68263166,94,4.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.053,0.846,0.101,0.5423
2017-07-29,Hidden Figures,2016,1,45.763999999999996,8.1,7149,230698791,127,0.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,0.0,0.0,0.0,0.737,0.263,0.9524
2017-07-29,The Breakfast Club,1985,1,16.92,7.8,6396,51525171,98,2.5,0,6,7,2017,30,244,387,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.064,0.905,0.031,-0.2732
2017-07-29,Lost in Translation,2003,1,14.151,7.4,5521,119723856,102,0.0,0,6,7,2017,30,244,387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0,0.0,1.0,0.172,0.71,0.118,-0.3612
2017-07-29,The Bling Ring,2013,1,12.878,5.4,2622,19145732,90,4.5,0,6,7,2017,30,244,387,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1.0,1.0,0.115,0.673,0.212,0.4588
2017-07-29,Ant-Man,2015,1,72.308,7.1,15898,519311965,117,3.5,0,6,7,2017,30,244,387,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,0.138,0.59,0.272,0.886
2017-07-29,Pan's Labyrinth,2006,0,28.915,7.7,8367,83258226,118,0.0,0,6,7,2017,30,244,387,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.0,0.0,0.0,0.162,0.808,0.031,-0.7783
2017-07-29,Captain America: The Winter Soldier,2014,1,53.07899999999999,7.7,14935,714766572,136,0.0,0,6,7,2017,30,244,387,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.0,0.0,0.0,0.199,0.775,0.026,-0.974
2017-07-29,Jurassic Park,1993,1,28.374000000000002,7.9,12539,920100000,127,4.5,0,6,7,2017,30,244,387,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2.0,0.0,0.0,0.052,0.674,0.274,0.8968
2017-07-29,Apocalypse Now,1979,1,23.15,8.3,5989,150000000,147,4.0,0,6,7,2017,30,244,387,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.223,0.777,0.0,-0.9337
