name,job,movie_count,gender,popularity,profile_path,order
James L. Brooks,Screenplay,2,Male,4.078,https://image.tmdb.org/t/p/original/71coE7hjtXErJXT4Of3KSedzx4E.jpg,1091
Bob Schooley,Screenplay,2,Male,4.0360000000000005,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1092
Robert Altman,Director,2,Male,4.034,https://image.tmdb.org/t/p/original/wB1R6patGi35oaxKU5PWEGJlIZg.jpg,1093
Stephen Herek,Director,2,Male,4.0310000000000015,https://image.tmdb.org/t/p/original/ni2MxgHBvzzYj9OzHpQ3yHkar79.jpg,1094
Roger Kumble,Director,2,Male,4.0,https://image.tmdb.org/t/p/original/njVOmV33aCFRUlBxxLXzLbrmAUS.jpg,1095
Chris Buck,Director,2,Male,3.989,https://image.tmdb.org/t/p/original/ponaYm3Xr1Pki8JVDSIzfA4NkNw.jpg,1096
Stephen J. Anderson,Director,2,Male,3.978,https://image.tmdb.org/t/p/original/csdeskOXUe9iHQBe7OqZwpQ2lRk.jpg,1097
Charlie Kaufman,Director,2,Male,3.964,https://image.tmdb.org/t/p/original/75aOpLBpvdtQM3BkWGFUvMs6LvH.jpg,1098
Andy Tennant,Director,2,Male,3.964,https://image.tmdb.org/t/p/original/bvHhEFoAlPbbtioxrWZaOFNAu71.jpg,1098
Robert Luketic,Director,2,Male,3.959,https://image.tmdb.org/t/p/original/dwescz6qnJ1zWeRLKQIL5X9zT9s.jpg,1099
Bruce Beresford,Director,2,Male,3.946,https://image.tmdb.org/t/p/original/p5p1YhKTh1EOSvf1NO96oBQI2Ll.jpg,1100
Larry Charles,Director,2,Male,3.933,https://image.tmdb.org/t/p/original/rt48JIfeIJPNNZftESWnMEuzAXN.jpg,1101
Cameron Crowe,Screenplay,2,Male,3.93,https://image.tmdb.org/t/p/original/g82OQYNnFtVnNwJepTYgVQTlEA.jpg,1102
Cameron Crowe,Writer,2,Male,3.93,https://image.tmdb.org/t/p/original/g82OQYNnFtVnNwJepTYgVQTlEA.jpg,1102
Wu Nien-Jen,Writer,2,Male,3.928,https://image.tmdb.org/t/p/original/zqEl0ybSYwq7yQlG5SSoQQDyuCC.jpg,1103
Adam Wingard,Director,2,Male,3.908,https://image.tmdb.org/t/p/original/3Dk4vAmhdb59VTnNRnW1ln52wG6.jpg,1104
Marc Guggenheim,Screenplay,2,Male,3.888,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1105
Wellesley Wild,Writer,2,Male,3.867,https://image.tmdb.org/t/p/original/eBwkJndBaOPiruvp5hQkAZsfAL9.jpg,1106
Scott Silver,Writer,2,Male,3.849,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1107
Bill Pankow,Editor,2,Male,3.842,https://image.tmdb.org/t/p/original/nYlDsbuLzZoMDgEELzJ3yC9URuP.jpg,1108
Dean DeBlois,Director,2,Male,3.806,https://image.tmdb.org/t/p/original/miMZ0l4rY81NiyMviWz1BeTGtuE.jpg,1109
Tricia Cooke,Editor,2,Female,3.801,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1110
John M. Stahl,Director,2,Male,3.788,https://image.tmdb.org/t/p/original/jP2csaGsZJ39CKp11cQgSaznZEt.jpg,1111
Harriet Frank Jr.,Screenplay,2,Female,3.778,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1112
François Truffaut,Director,2,Male,3.777,https://image.tmdb.org/t/p/original/3bXLtipaybsje01LlQvHvuUAZNq.jpg,1113
Elia Kazan,Director,2,Male,3.745,https://image.tmdb.org/t/p/original/6aXiaOiM4rpgNv7Nj8kqetd1aEn.jpg,1114
George Cukor,Director,2,Male,3.74,https://image.tmdb.org/t/p/original/vN3htY1yJULUwIqdA6v97uPM6aA.jpg,1115
Russell Metty,Director of Photography,2,Male,3.74,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1115
Gavin Hood,Director,2,Male,3.722,https://image.tmdb.org/t/p/original/2y2eX4m7qsDgbo51XAK6TE6dJon.jpg,1116
Jonathan Levine,Director,2,Male,3.707,https://image.tmdb.org/t/p/original/pPUkEsZZgO4CFQhcGfs2fOoXLdh.jpg,1117
Lorenzo Semple Jr.,Screenplay,2,Male,3.7,https://image.tmdb.org/t/p/original/dqHwwCea2IJUvf8x3EL6cYqFEok.jpg,1118
Steve McQueen,Screenplay,2,Male,3.697,https://image.tmdb.org/t/p/original/toU1yd6PFn88utmDpWTZ69h5Pkr.jpg,1119
Scott Z. Burns,Writer,2,Male,3.679,https://image.tmdb.org/t/p/original/9MW15WXIrGDDXvz0fabmyUhc1qB.jpg,1120
Tom Mankiewicz,Screenplay,2,Male,3.674,https://i0.wp.com/s.ltrbxd.com/static/img/avatar1000.a71b6e9c.png?ssl=1,1121
Eric Goldberg,Director,2,Male,3.672,https://image.tmdb.org/t/p/original/pqulcFpHW4dBLNUeflN5BY21yTA.jpg,1122
